timestamp,task1_state,task2_state,task3_state,task9_state,debug_value
2025-03-20 00:00:00.185340,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-69.43
2025-03-20 00:00:00.185450,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-69.43
2025-03-20 00:00:00.185580,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-69.69
2025-03-20 00:00:00.185800,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-69.69
2025-03-20 00:00:00.185940,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-69.94
2025-03-20 00:00:00.186460,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-69.94
2025-03-20 00:00:00.186600,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.20
2025-03-20 00:00:00.186970,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.20
2025-03-20 00:00:00.187110,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.46
2025-03-20 00:00:00.187220,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.46
2025-03-20 00:00:00.187360,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.71
2025-03-20 00:00:00.187600,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.71
2025-03-20 00:00:00.187740,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.97
2025-03-20 00:00:00.188270,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-70.97
2025-03-20 00:00:00.188410,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-71.23
2025-03-20 00:00:00.188780,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-71.23
2025-03-20 00:00:00.188920,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-71.49
2025-03-20 00:00:00.189020,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-71.49
2025-03-20 00:00:00.189170,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-71.74
2025-03-20 00:00:00.189420,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-71.74
2025-03-20 00:00:00.189550,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-72.00
2025-03-20 00:00:00.190030,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Blocked,-72.00
2025-03-20 00:00:00.190130,TaskState.Running,TaskState.Ready,TaskState.Blocked,TaskState.Blocked,-72.00
2025-03-20 00:00:00.190270,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Blocked,-72.26
2025-03-20 00:00:00.190500,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-72.26
2025-03-20 00:00:00.190610,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-72.26
2025-03-20 00:00:00.190750,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-72.51
2025-03-20 00:00:00.190860,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-72.51
2025-03-20 00:00:00.190990,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-72.77
2025-03-20 00:00:00.191230,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-72.77
2025-03-20 00:00:00.191370,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.03
2025-03-20 00:00:00.191860,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.03
2025-03-20 00:00:00.192000,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.29
2025-03-20 00:00:00.192460,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.29
2025-03-20 00:00:00.192590,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.54
2025-03-20 00:00:00.192710,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.54
2025-03-20 00:00:00.192840,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.80
2025-03-20 00:00:00.193020,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-73.80
2025-03-20 00:00:00.193160,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.06
2025-03-20 00:00:00.193690,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.06
2025-03-20 00:00:00.193830,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.31
2025-03-20 00:00:00.194290,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.31
2025-03-20 00:00:00.194430,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.57
2025-03-20 00:00:00.194540,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.57
2025-03-20 00:00:00.194680,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.83
2025-03-20 00:00:00.194900,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-74.83
2025-03-20 00:00:00.195030,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.09
2025-03-20 00:00:00.195560,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.09
2025-03-20 00:00:00.195700,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.34
2025-03-20 00:00:00.196120,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.34
2025-03-20 00:00:00.196260,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.60
2025-03-20 00:00:00.196370,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.60
2025-03-20 00:00:00.196520,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.86
2025-03-20 00:00:00.196750,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-75.86
2025-03-20 00:00:00.196890,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.11
2025-03-20 00:00:00.197430,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.11
2025-03-20 00:00:00.197570,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.37
2025-03-20 00:00:00.197990,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.37
2025-03-20 00:00:00.198130,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.63
2025-03-20 00:00:00.198240,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.63
2025-03-20 00:00:00.198380,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.89
2025-03-20 00:00:00.198610,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-76.89
2025-03-20 00:00:00.198750,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-77.14
2025-03-20 00:00:00.199300,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-77.14
2025-03-20 00:00:00.199440,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-77.40
2025-03-20 00:00:00.199840,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-77.40
2025-03-20 00:00:00.199970,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-77.66
2025-03-20 00:00:00.200090,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Ready,-77.66
2025-03-20 00:00:00.200190,TaskState.Running,TaskState.Ready,TaskState.Blocked,TaskState.Ready,-77.66
2025-03-20 00:00:00.200320,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Ready,-77.91
2025-03-20 00:00:00.200490,TaskState.Running,TaskState.Ready,TaskState.Blocked,TaskState.Ready,-77.91
